,Date,Year,Time,Crash_location,Organisation,Flight_num,Route,Ac_type,Ground_fatalities_num,Summary,Month,Crash_location_country,Crash_location_ISO,Crash_location_city,Crash_location_city_longitude,Crash_location_city_latitude,Total onboard,Passengers onboard,Crew onboard,Onboard deaths,Passengers dead,Crew dead,all deaths,Total survivors,Passengers survivors,Crew survivors
2977,04,1940,04:42,"Near Centerville, Utah",United Air Lines,16,Oakland - Salt Lake City,Douglas DC-3,0,"The aircraft crashed into Bountiful Peak in the Wasatch Mountains, during a snowstorm, 3 nm NE of Centerville. The failure of the communications operators at Tintic, Plymouth, and Salt Lake City, Utah, whose duty it was to monitor the range, to detect its malfunctioning and immediately notify those concerned and the failure of the pilot to follow to the fullest extent established radio range technique in accordance with the requirements of the procedure established by United and approved by the Civil Aeronautics Administration.",November,Utah,US,Centerville,32.63014,-83.68963,10,8,2,10,8,2,10,0,0,0
2978,15,1943,23:17,"Near Centerville, Tennessee",American Airlines,63,Nashville - Memphis,Douglas DC3-G102,0,"The aircraft struck the ground nose-first in a vertical attitude while en route and was completely demolished by the impact. Inability of the aircraft to gain or maintain altitude due to carburetor ice, propeller ice or wing ice or some combination of these icing conditions, while over terrain and in weather unsuitable for an emergency landing. Weather conditions which, had their nature been anticipated, should have precluded the dispatch of the flight in an aircraft not equipped with wing or propeller deicing equipment.",October,Tennessee,US,Centerville,32.63014,-83.68963,15,11,4,15,11,4,15,0,0,0
2979,06,1955,07:26,"Near Centennial, Wyoming",United Air Lines,409,Denver - Salt Lake City - San Francisco,Douglas DC-4,0,"The aircraft crashed into cloud covered Medicine Bow Peak while en route. The plane failed to clear the 12,013 ft. peak by 75 feet. The pilot deviated from course for reasons unknown.  Possible incapacitation of crew by carbon monoxide emanating from a faulty cabin heater, though never proven.",October,Wyoming,US,Wyoming,39.23117,-84.46578,66,63,3,66,63,3,66,0,0,0
2981,03,1998,15:15,"Near Cavalese, Trento, Italy",Military - U.S. Marine Corps,-,Cebu - Manila,Grummand EA-6B,20,The aircraft struck and severed the cable to a gondola causing it to fall 300 ft. to the ground and killing 20 on board. The plane landed safely. Negligence by the crew in flying above the speed limit and well below the prescribed minimum altitude in the area.,February,Italy,IT,Trento,46.06787,11.12108,2,0,2,0,0,0,20,2,0,2
2982,23,1933,c 07:40,"Near Castrovillari, Calabria, Italy",Air Orient,-,Corfu - Naples,Cams 53-1,0,Crashed into a mountain after encountering a mountain wave..,April,Italy,IT,Castrovillari,39.81632,16.20183,8,5,3,5,3,2,5,3,2,1
2985,03,1977,15:00,"Near Cascina, Italy",Military - Italian Air Force,-,Training,Lockheed C-130H,0,The aircraft crashed into cloud obscured  Mt. Serra shortly after taking off from San Giusto Airport at Pisa. The plane was seen making a evasive maneuver before slamming into the mountain peak.,March,Italy,IT,Cascina,43.67557,10.55494,44,38,6,44,38,6,44,0,0,0
2986,18,1958,c 04:30,"Near Casablanca, Morocco",Sabena,-,Lisbon - Leopoldville,Douglas DC-7C,0,"The aircraft developed trouble in the No. 1 engine while en route from Lisbon to Leopoldville. While attempting to land in poor visibility on 3 engines, the aircraft stalled 80 ft. above the ground and crashed into a building and burst into flames. Pre-crash damage to the No. 1 engine. An error of judgment by the pilot in reapplication of power when the aircraft was neither in the appropriate configuration nor at a sufficient speed to carry out the attempted safety maneuver.",May,Morocco,MA,Casablanca,33.58831,-7.61138,65,56,9,61,52,9,61,4,4,0
2987,21,1995,12:53,"Near Carrollton, Georgia",Atlantic Southeast Airlines,529,Atlanta - Gulfport,Embraer 120-RT Brasilia,0,"Shortly after taking off from Atlanta on a flight to Gulfport, the aircraft experienced propeller separation in the left engine while climbing through FL 180. The aircraft hit trees, crashed into a field and burned while trying to make an emergency landing at West Georgia Regional Airport. The in-flight fatigue fracture and separation of a propeller blade resulting in distortion of the left engine nacelle, causing excessive drag, loss of wing lift, and reduced directional control of the airplane. The fracture was caused by a fatigue crack from multiple corrosion pits that were not discovered by Hamilton Standard because of inadequate and ineffective corporate inspection and repair techniques, training, documentation and communication. Two died of their injuries after the accident.",August,Georgia,US,Carrollton,33.58011,-85.07661,29,26,3,10,9,1,10,19,17,2
2989,29,1952,04:40,"Near Carolina, Brazil",Pan American World Airways,202,Rio de Janeiro - New York City,Boeing 377-10-26 Stratocruiser,0,"The flight crashed into the jungle about 887 nm NNW of Rio de Janerio. Separation of the propeller blade leading to separation of the No. 2 engine due to highly unbalance forces, leading to the distintegration of the aircraft. The aircraft was named ""Clipper Good Hope.""",April,Brazil,BR,Carolina,-7.33561,-47.46218,50,41,9,50,41,9,50,0,0,0
2990,12,1962,04:40,"Near Carmona, Spain",Iberia Airlines,202,Barcelona - Valencia - Seville,Convair CV-440 -62,0,Crashed into mountain while attempting to land.,October,Spain,ES,Carmona,37.47125,-5.64608,18,14,4,18,14,4,18,0,0,0
2991,05,1972,22:24,"Near Carini, Sicily, Italy",Alitalia,112,Rome - Palermo,McDonnell Douglas DC-8-43,0,The plane cashed into Mt. Lunga during an approach to Palermo. The crew's non-adherence to airport traffic regulations. The aircraft was named Antonio Pigafetta.,May,Italy,IT,Carini,38.1324,13.18274,115,108,7,115,108,7,115,0,0,0
2992,09,1961,c 15:00,"Near Caracas, Venezuela",Linea Aeropostal Venezolana,112,San Antonio-Maiquetia,Douglas DC-3,0,Crashed while en route. Navigation error. Failure of the crew to follow the prescribed route. Flying VFR in IFR conditions.,March,Venezuela,VE,Caracas,10.48801,-66.87919,12,8,4,12,8,4,12,0,0,0
2993,23,1990,07:35,"Near Caracas, Venezuela",Military - Venezuelan Navy,-,Caracas - Puerto Ayancucho,CASA 212-200 Aviocar,0,"Crashed into El Junquito Hill 5 minutes after taking off and burned. Most likely cause was reduced visibility, rain and low overcast.",January,Venezuela,VE,Caracas,10.48801,-66.87919,25,22,3,25,22,3,25,0,0,0
2994,12,1968,22:02,"Near Caracas, Venezuela",Pan American World Airways,217,New York City - Caracas,Boeing B-707-321B,0,"En route from New York City, the airliner crashed in the Caribbean sea and exploded while descending for a landing  at Maiquetia Airport. Possible sensory illusion produced by the town lights on upslope. The aircraft was named ""Clipper Malay.""",December,Venezuela,VE,Caracas,10.48801,-66.87919,51,42,9,51,42,9,51,0,0,0
2995,08,1947,09:30,"Near Caracas, Venezuela",Linea Aeropostal Venezolana,217,Cumana - Caracas,Douglas C-47A,0,Crashed 40 miles east of Caracas while en route.,April,Venezuela,VE,Caracas,10.48801,-66.87919,27,24,3,27,24,3,27,0,0,0
2998,17,1960,15:25,"Near Cannelton, 10 mile SE of Tell City, Indiana",Northwest Orient Airlines,710,Chicago - Miami,Lockheed 188C Electra,0,An in-flight separation of the wing. A design flaw caused an oscillation known as whirl mode to transfer propeller wobble to the outboard nacelles which induced flutter in the wing which led to the separation of the wing. Reduced stiffness of the structure and the entry of the aircraft into an area of severe clear air turbulence were contributing factors. One of two crashes with the same cause.  See 9/29/59.,March,Indiana,US,Tell City,37.95144,-86.76777,63,57,6,63,57,6,63,0,0,0
3001,13,1940,10:15,"Near Canberra, Australia",Military - Royal Australian Air Force,710,Melbourne - Canberra,Lockheed Hudson A16-97,0,"The plane was seen circling Canberra Aerodrome after which it headed west to make the final approach for landing. The aircraft momentarily disappeared behind one of the hills that surround the airport, then reappeared. There was the sound of engines being gunned, then the aircraft disappeared again. An explosion and sight  of a large plume of black smoke followed. All on board the Hudson were killed including several high ranking Australian military leaders. A witness later said the aircraft appeared to drop its left wing and then dip its nose steeply, classic symptoms of a stall, too close to the ground for recovery.",August,Australia,AU,Canberra,-35.28346,149.12807,10,6,4,10,6,4,10,0,0,0
3002,08,1928,10:15,"Near Canajoharie, New York",Colonial Western Airlines,710,Minola - Albany - Buffalo,Fairchild FC-2,0,Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..,January,New York,US,York,39.9626,-76.72774,3,1,2,3,1,2,3,0,0,0
3004,30,1957,09:45,"Near Campeche, Mexico",Transportes Aereos Mexicanos,710,Sighteeing,Fairchild C-82A,0,The cargo plane crashed en route.,October,Mexico,MX,Campeche,19.84386,-90.52554,3,0,3,3,0,3,3,0,0,0
3007,29,1970,14:30,"Near Cam Ranh, South Vietnam",Military - U.S. Air Force,710,Cam Ranh Bay AB - Siagon,Fairchild C-123K,0,Crashed into the jungle 15 miles from it destination as the pilot prepared to land at Saigon in poor weather conditions.,November,Vietnam,VN,Cam Ranh,11.92144,109.15913,44,39,5,42,37,5,42,2,2,0
3008,22,1943,06:00,"Near Calcutta, India",Military - U.S. Army Air Forces,710,Cam Ranh Bay AB - Siagon,Douglas C-53,0,Cashed into trees shortly after taking off.,September,India,IN,Indi,17.17735,75.9526,20,15,5,20,15,5,20,0,0,0
3009,30,1954,09:18,"Near Calcutta, India",Darbhanga Aviation,710,Cam Ranh Bay AB - Siagon,Douglas C-47A-30-DK,0,"The aircraft tried to return to the airport after the No. 1 engine failed on takeoff but was unable to maintain airspeed, stalled and crashed into a tree. Delay in feathering the No. 1 engine after failure. Improper emergency procedural errors by the pilot.",April,India,IN,Indi,17.17735,75.9526,11,8,3,5,3,2,5,6,5,1
3010,28,1960,08:22,"Near Calabozo, Venezuela",Linea Aeropostal Venezolana,710,Maiquetia - Calabozo,Douglas DC-3,0,The aircraft crashed after an explosion aboard. Detonation of a hand-grenade brought aboard by a Russian immigrant. The explosion occurred after the captain tried to disarm the man.,April,Venezuela,VE,Calabozo,8.92416,-67.42929,13,9,4,13,9,4,13,0,0,0
3011,21,2002,c 19:30,"Near Calabar, Nigeria",Sky Executive Air Services,710,Port Harcourt - Calabar,LET 410UVP,0,"The plane crashed approximately 12 miles from Calabar while attempting to land. All passengers departed at Port Harcourt and only a crew of 5 was aboard. The premature departure of the plane from the normal minimum safe altitude of 2,500 ft. without air traffic controller's clearance until it flew into the terrain. Other contributing factors were the emergence of electrical problem on the aircraft at the commencement of the approach which might have distracted the  pilot  and unfavorable weather conditions of low ceiling and thunderstorms which impaired visibility at the critical time of descent.",May,Nigeria,NG,Calabar,4.95893,8.32695,5,0,5,5,0,5,5,0,0,0
3012,05,1955,10:04,"Near Calabar, Nigeria",West African Airways,710,Enugu - Calabar,Bristol 170 Freighter 21E,0,Crashed shortly after taking off after a wing failed. A design flaw in the wing led to fatigue cracks and wing failure.,February,Nigeria,NG,Calabar,4.95893,8.32695,13,9,4,13,9,4,13,0,0,0
3013,12,1980,23:53,"Near Cairo, Egypt",Military - U.S. Air Force,710,Ramstein AB - Cairo,Lockheed C-141A,0,Descended at an excessive sink rate at a banked angle until it crashed to the ground as it prepared to land at Cairo Airport.,November,Egypt,EG,Cairo,30.06263,31.24967,13,7,6,13,7,6,13,0,0,0
3014,15,1962,23:53,"Near Cairo, Egypt",United Arab Airlines,710,"Cairo, Egypt  - Beirut, Lebanon",Douglas DC-3,0,The cargo plane crashed shortly after taking off.,May,Egypt,EG,Cairo,30.06263,31.24967,3,0,3,3,0,3,3,0,0,0
3015,10,1986,23:53,"Near Cairo, Egypt",EgyptAir,710,Cairo - Alexandia,Fokker F-27 Friendship 500,0,Crashed short of runway and collided with a building during a sandstorm.,June,Egypt,EG,Cairo,30.06263,31.24967,26,21,5,23,18,5,23,3,3,0
3016,20,1956,02:40,"Near Cairo, Egypt",Transport Aerien Intercontinentaux (France),710,Saigon - Paris,Douglas DC-6B,0,The flight crashed while on approach 18 miles SE of Cairo.  Pilot's inexperience in ILS approaches.  Improper approach.  Crew error. Crew fatigue.,February,Egypt,EG,Cairo,30.06263,31.24967,64,55,9,52,49,3,52,12,6,6
3018,01,2002,07:25,"Near Cairns, QLD, Australia",Air Taxi,710,Cairns - Hicks Island,Shrike Commander 500S,0,"Crashed into low terrain while en route. Why the pilot continued flight into marginal weather conditions at an altitude that was insufficient to ensure terrain clearance, could not be established.",April,Australia,AU,Cairns,-16.92366,145.76613,4,3,1,4,3,1,4,0,0,0
3020,09,1943,10:30,"Near Cabo Ruivo, Marine Base, Lisbon, Portugal",British Overseas Airways,710,Lisbon - London,Short S-26 (flying boat),0,Crashed into the River Tagus after a fire broke out aboard the plane. While attempting an emergency landing the ship porpoised and slamed back down and broke up. The separation of a cylinder may have thrown out oil and started the blaze.,January,Portugal,PT,Lisbon,38.71667,-9.13333,15,11,4,13,10,3,13,2,1,1
3022,07,1950,08:15,"Near Butte, Montana",Northwest Orient Airlines,115,Helena - Butte,Martin 202,0,"The flight originated at Chicago for Seattle via intermediate stops at Minneapolis, Billings, Great Falls and Helena. The aircraft left Helena at 0753 from runway 29. The aircraft's flight plan was to fly to 10,500 ft. via Amber Airway No .2 to Whitehall Station and to Butte via Red Airway No. 2. At 0801 the flight reported it reached cruising altitude and was headed toward Whitehall Range Station. This message was acknowledged. The next message from the flight was at 08:14 stating that it was over Whitehall Range Station and starting descent. Butte acknowledged this message and  gave the flight the altimeter setting of 29.97, advised that the wind was south, calm, and the ceiling was lower to the east and north and better to the south and southwest. The flight replied that it had vertical visibility at 10,500 feet. This was the last radio contact with the flight. At approximately 0815 the aircraft had struck the eastern slope of a ridge about 30 feet below its crest, at an altitude of about 8,250 feet MSL. The site of impact was approximately 2 1/2 miles east of the control tower at the Butte Airport, and about 1-1/2 miles to the right of the center of the on course signal from Whitehall to Butte. Captain's failure to follow prescribed approach procedures.",November,Montana,US,Butte,46.00382,-112.53474,21,17,4,21,17,4,21,0,0,0
3025,03,1968,c 21:25,"Near Burgas, Bulgaria",Bulair TABSO,115,Nice - Malta,Ilyushin IL-18,0,Crashed on approach descending into the ground short of the runway. Deviation from the prescribed flight rules to accomplish a visual approach in adverse weather conditions.,September,Bulgaria,BG,Burgas,42.50606,27.46781,89,82,7,47,42,5,47,42,40,2
3028,26,1991,05:02,"Near Bugulma, Russia",Tartarstan Airlines,115,Nizhnevartovsk - Bugulma,Antonov AN-24,0,"While on approach to Bugulma, the plane yawed to the right. The crew decided to go around but crashed 800 m short and to the right of the runway. Horizontal stabilizer icing.",November,Russia,RU,Bugulma,54.5378,52.7985,41,37,4,41,37,4,41,0,0,0
3029,02,1986,03:03,"Near Bugulma, Russia",Aeroflot,115,Cheboksary - Bugulma,Antonov AN-24B,0,"The aircraft entered a left bank and turn, stalled and crashed 5 miles short of the runway. Failure of the autofeather sensor circuit breaker caused propellers to feather.",March,Russia,RU,Bugulma,54.5378,52.7985,38,34,4,38,34,4,38,0,0,0
3032,11,1957,09:00,"Near Buenos Aires, Argentina",Lineas Aereas del Estado,585,Buenos Aires - Mar Del Plata - Mendoza,Vickers 615 Viking 1B,1,The domestic flight crashed and burned immediately after takeoff from Buenos Aires after overrunning the runway. Too short a runway and excessive cross-winds for the type of aircraft.,January,Argentina,AR,Buenos Aires,-34.61315,-58.37723,33,29,4,17,15,2,18,16,14,2
3034,26,1949,12:00,"Near Bucaramanga, Colombia",LANSA,585,Bucaramanga - Cucuta,Douglas DC-3,0,Struck a mountain shortly after taking off.,November,Colombia,CO,Bucaramanga,7.12539,-73.1198,12,9,3,12,9,3,12,0,0,0
3036,15,1961,10:05,"Near Brussels, Belgium",Sabena,548,New York City - Brussels,Boeing B-707-320,1,"The aircraft was about to touchdown on the runway when engine power was increased and the aircraft climbed to 1,500 ft. The aircraft completed 3 left-hand circles. Its attitude increased until it nosed down and crashed. The entire eighteen member U.S. Figure Skating team killed.  Failure of the aircraft's flying controls, possibly jamming of the outboard ailerons or unwanted extension of the spoilers.",February,Belgium,BE,Brussels,50.85045,4.34878,72,61,11,72,61,11,73,0,0,0
3042,22,2003,c 23:55,"Near Brest, France",Brit Air,5672,Nantes - Brest,Canadair CRJ-100ER,0,"The aircraft crashed onto a road and caught fire 1 km from Brest-Guipavas Airport in France's Brittany region, killing the pilot and injuring three others. There were thunderstorms in the area with 800 meters visibility at the time the accident took place.",June,France,FR,Brest,48.39029,-4.48628,24,21,3,1,0,1,1,23,21,2
3043,09,2005,15:45,"Near Brazzaville, Congo",Air Kasai,5672,Boende - Kinshasa,Antonov AN-26A,0,"While en route, a witness saw the plane lose altitude and crash to the ground and disintegrate into pieces north of Brazzaville. Weather was poor with thunderstorms and strong winds.",September,Congo,CG,Brazzaville,-4.26613,15.28318,14,11,3,14,11,3,14,0,0,0
3044,30,2012,17:50,"Near Brazzaville, Congo",Aero Service,5672,Pointe Noire - Brazzaville,Ilysushin Il-76T,25,The cargo plane crashed into a dozen houses in the Mselou district in Bazzaville while attempting to land at the local airport. The plane caught on fire and came to rest in a ravine. There was heavy rain and thunderstorms in the area at the time of the accident.,November,Congo,CG,Brazzaville,-4.26613,15.28318,7,0,7,7,0,7,32,0,0,0
3045,29,1968,22:43,"Near Bratsk, Russia",Aeroflot,15,Krasnoyarsk - 	Petropavlovsk,Ilyushin IL-18D,0,After an emergency situation and emergency descent the plane broke apart at FL100 and crashed. One passenger survived. Fuel leak.,February,Russia,RU,Bratsk,56.1325,101.61417,84,75,9,83,74,9,83,1,1,0
3046,29,1968,22:43,"Near Bratsk, Russia",Aeroflot,15,Krasnoyarsk - Petropavlovsk,Ilyushin IL-18D,0,"Cruising at flight level 260, some type of emergency developed. An abrupt descent was begun and accelerated until aerodynamic forces broke apart the plane. Cause unknown.",February,Russia,RU,Bratsk,56.1325,101.61417,82,73,9,82,73,9,82,0,0,0
3049,09,1999,15:12,"Near Branson, Missouri",College of the Ozarks,101,Saint Louis - Branson,Cessna 525 Citation,0,"The executive jet descended below minimums and struck the side of a hill while attempting to land at Point Lookout. The pilot descended below the minimum altitude for the segment of the GPS approach. Factors relating to the accident were low ceilings, rain, and pilot fatigue.",December,Missouri,US,Branson,36.64367,-93.21851,6,4,2,6,4,2,6,0,0,0
3050,06,1969,20:35,"Near Bradford, Pennsylvania",Allegheny Airlines,737,Washington - Harrisburgh - Bradford - Erie - Detroit,Convair CV-580,0,"Crashed, clipping tree tops short of the runway, in light snow while on approach. An excessive descent was not detected or corrected by the crew for reasons unknown. Possibilities include an altimeter failure or misreading of the instrument approach chart.",January,Pennsylvania,US,Bradford,41.9559,-78.64392,28,25,3,11,9,2,11,17,16,1
3056,13,1976,01:37,"Near Bombay, India",Indian Airlines,737,Mumbai - Chennai,Sud-Aviation Caravelle VI-N,0,"The aircraft crash landed in flames during an emergency landing. The right engine failed during takeoff. A fatigue crack in compressor led to engine destruction, severing of fuel lines and fire. The fire spread because the crew did not shut off the fuel supply.",October,India,IN,Indi,17.17735,75.9526,95,89,6,95,89,6,95,0,0,0
3057,28,1968,01:37,"Near Bombay, India",Garuda Indonesia Airlines,737,Mumbai - Chennai,Convair CV-990-30A-5,1,"The aircraft crashed in a nearly vertical attitude, 5 minutes after takeoff, 20 nm from the airport.",May,India,IN,Indi,17.17735,75.9526,29,15,14,29,15,14,30,0,0,0
3058,12,1949,03:50Z,"Near Bombay, India",KLM Royal Dutch Airlines,737,Delhi - Bombay,Lockheed L-749-79-33 Constellation,0,"While circling in a blinding monsoon rainstorm, the aircraft crashed into 674 ft. high Ghatkopar hill, 3 miles ENE of the airport. Crew error. Pilots decision to land in weather below prescribed minimums in an area he was not familiar with.",July,India,IN,Indi,17.17735,75.9526,45,34,11,45,34,11,45,0,0,0
3059,02,2011,13:27,"Near Bom Jardim da Serra, SC, Brazil",Military - Brazilianl Air Force,737,Canoas - Rio de Janeiro,Cessna 208B C-98A Grand Caravan,0,"While en route, the plane dove into the ground and exploded.",August,Brazil,BR,Jardim,-3.46444,-39.05667,8,6,2,8,6,2,8,0,0,0
3061,13,1995,13:27,"Near Boise, Idaho",Military - U.S. Air Force,737,"Boise, ID - Colorado Springs, CO",Lockheed C-130E Hercules,0,An engine caught fire shortly after takeoff and the aircraft was not able to make an emergency landing and crashed.,May,Idaho,US,Boise,43.6135,-116.20345,6,0,6,6,0,6,6,0,0,0
3074,20,1999,11:00,"Near Bluefields, Nicaragua",La Costena,046,Managua - Bluefields,Cessna 208B Grand Caravan,0,"Crashed into a hill at 2,000 ft. while flying VFR in low clouds and rain while approaching Bluefields. The pilot-in-command descended below safe minimum height of 2,700 ft.",July,Nicaragua,NI,Bluefields,12.01366,-83.76353,16,14,2,16,14,2,16,0,0,0
3075,29,1996,16:26,"Near Blenheim, New Zealand",Soundsair,046,Wellington - Picton,Cessna 208 Caravan I,0,"The aircraft crashed into Mt. Robertson at 1, 400 ft. after entering a layer of clouds on its eastern slope. Descent  by the pilot into a cloud layer at high speed with insufficient forward visibility. Descent under a cloud layer",January,New Zealand,NZ,Blenheim,-41.51603,173.9528,6,5,1,5,5,0,5,1,0,1
3076,12,1999,10:30,"Near Bishop, California",Ameriflight,046,Tonopath - Bishop,Beechcraft C99,0,The cargo plane crashed into a mountain en route. The pilot's failure to follow procedures and directives and his failure to maintain clearance from mountainous terrain.,February,California,US,California,38.3004,-76.50745,1,0,1,1,0,1,1,0,0,0
3077,18,1957,10:30,"Near Birobidzhan, Russia",Aeroflot,10,Tonopath - Bishop,Ilyushin IL-12,0,"In June 1958 the aircraft was found on the northwest slope of Mount Poktoy 30 km west of Birobidzhan completely destroyed and burned. Crews, ATC error.",December,Russia,RU,Birobidzhan,48.79284,132.92386,27,22,5,27,22,5,27,0,0,0
3082,08,1945,14:00,"Near Billings, Montana",Military - U.S. Army,772,"Newark, N.J. - Seattle, WA",Douglas C-47,0,Crashed into a field after hitting trees while attempting to land in a snowstorm.,December,Montana,US,Billings,45.78329,-108.50069,21,19,2,17,15,2,17,4,4,0
3087,08,2014,1556,"Near Bethel, Alaska",Hageland Aviaiton Services,844,Training,Cessna 208B Grand Caravan,0,The training flight impacted terrain in the Three Steps Mountain region approximately 30 miles southeast of Bethel. The burning wreckage was spotted two hour later. Two pilots were killed. No passengers were aboard.,April,Alaska,US,Bethel,41.37121,-73.41401,2,0,2,2,0,2,2,0,0,0
3090,01,1974,11:10,"Near Berryville, Virginia",Trans World Airlines,514,Columbus - Washington D.C.,Boeing B-727-231,0,The plane crashed into high terrain at approximately 270 mph during an approach to Dulles Airport. The crew's decision to descend before aircraft reached the approach segment. The crew ignored high terrain marked on the en route chart and continued their descent. Lack of clarity in ATC procedures. The issuance of the approach clearance when the flight was 44 miles from the airport on an unpublished route without clearly defined minimum altitudes. Inadequate depiction of altitude restrictions on the profile view of the approach chart for the VOR/DME approach to Runway 12 at Dulles International Airport.,December,Virginia,US,Berryville,36.36479,-93.56797,92,85,7,92,85,7,92,0,0,0
3091,19,1929,11:10,"Near Berlin, Germany",Deutsche Lufthansa,514,Marseille - Berlin,Arado V1,0,"In fog, the pilot lost his bearing in fog and crashed 60 km from the airport.",December,Germany,DE,Berlin,52.52437,13.41053,3,0,2,2,0,2,2,1,0,0
3092,05,1948,11:10,"Near Berlin, Germany",British European Airways / Military - Soviet Air Force,514,Marseille - Berlin,Vickers Viking 1B & Soviet YAK-3 fighter,0,"The aircraft was circling Gatow in preparation for landing when the DC-3 collided head on with the Russian Air Force Yakovlev 3 fighter, which was performing aerobatics. A total of 14 killed on the Vickers Viking and one on the YAK fighter. The collision was caused by the action of the Yak fighter's pilot, which was in disregard of the accepted rules of flying.",April,Germany,DE,Berlin,52.52437,13.41053,15,10,5,15,10,5,15,0,0,0
3096,11,1991,11:10,"Near Belo Horizonte, Brazil",Belair - Air Taxi,514,Vientiane - Saigon,Learjet 25C,0,Crashed in a rainstorm.,January,Brazil,BR,Horizonte,-4.1,-38.48333,5,3,2,5,3,2,5,0,0,0
3100,18,1979,11:35,"Near Belgorod, Russia",Aeroflot,514,Training,Let 410M,0,Summary unavailable.,January,Russia,RU,Belgorod,50.61074,36.58015,3,0,3,3,0,3,3,0,0,0
3103,05,1930,02:05,"Near Beauvais, France",Military - British Air Ministry,514,"Cardington, England - Karachi, Pakistan",Royal Airship Works R-101,0,"The airship was on its inaugural flight from Cardington, England to Karachi, (Pakistan). During a storm on the first night, it suddenly nosedived, leveled briefly, then dived again crashing and burning. Preparations had been rushed for political reasons and there had been no full-speed test flight. In the wind and rain, the outer cover split open at the front so that the two forward gasbags ruptured simultaneously. Dropping ballast raised the nose, but only because there was also dynamic lift, which was promptly lost as speed was reduced, presumably to save the remaining gasbags.",October,France,FR,Beauvais,49.43333,2.08333,54,5,6,48,4,6,48,6,1,0
3104,30,1929,09:18,"Near Beaumont, California",New Standard Airlines,514,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.",March,California,US,California,38.3004,-76.50745,4,3,1,4,3,1,4,0,0,0
3106,07,1999,09:25,"Near Bayombang, Philippines",Asian Spirit,514,Manila - Cauayan,Let 410UVP,0,The aircraft apparently flew into a mountainside towards the end of a flight from Manila to Cauayan in rain and poor visibility.,December,Philippines,PH,Bay,14.18368,121.28554,17,15,2,17,15,2,17,0,0,0
3107,25,2000,18:15,"Near Batumi, Republic of Georgia",Military - Russian Air Force,514,Moscow - Batumi,Ilyushin IL-18D,0,"Communications were lost with the aircraft as it approached Mt. Tirina at 4,250 feet, preparing to land at Batumi. The aircraft was seen rapidly descending into mountainous terrain. A large explosion followed as the plane crashed somewhere between the towns of  Batumi and Kabuleti in heavy rain. Navigation error made by the crew in the final stage of the landing approach. Error by the Batumi ATC who failed to locate the plane and conform it to the crew. Erroneous data shown by ground radio-technical facilities at Batumi airport.",October,Georgia,US,Republic,37.12005,-93.48019,86,75,11,86,75,11,86,0,0,0
3111,10,1973,10:13,"Near Basel,  Switzerland",Invicta International Airlines (UK),435,Bristol - Basel,Vickers Vanguard 952,0,Crashed into a forest during a snowstorm. Malfunctioning navigation equipment. Navigational error by crew.,April,Switzerland,CH,Basel,47.55839,7.57327,145,139,6,108,104,4,108,37,35,2
3118,19,1959,c 10:00,"Near Barcelona, Spain",Transair,-,Barcelona - London,Douglas DC-3,0,"Nineteen minutes after taking off and while climbing, the aircraft entered a cloud and struck Mt. Monseny. Pilot did not follow prescribed regulations.",August,Spain,ES,Barcelona,41.38879,2.15899,32,29,3,32,29,3,32,0,0,0
3120,10,1955,c 10:00,"Near Banyo, Cameroon",Societe France Hydro,-,Lac L̩r̬ - Douala,Latecoere 631,0,Crashed into the Cameroon mountains after the wing separated due to severe turbulence.,September,Cameroon,CM,Banyo,6.75,11.81667,16,8,8,16,8,8,16,0,0,0
3121,29,1959,c 10:00,"Near Bangui, Central African Republic",Union Aeromaritime de Transport,-,Lac L̩r̬ - Douala,Nord 2501 Noratlas,0,Crashed while en route in the jungle.,March,Central African Republic,CF,Bangui,4.36122,18.55496,9,5,4,9,5,4,9,0,0,0
3122,19,1962,15:45,"Near Bangkok, Thailand",United Arab Airlines,869,Hong Kong - Bangkok,de Havilland Comet 4C,0,"Crashed into a jungle on the side of a mountain, 52 nm from the Bangkok airport while on approach. Premature descent. Navigational error.",July,Thailand,TH,Bangkok,13.75398,100.50144,26,18,8,26,18,8,26,0,0,0
3123,25,1976,c 03:45,"Near Bangkok, Thailand",EgyptAir,864,Cairo - Bangkok,Boeing B-707-366C,19,The aircraft crashed into an industrial area during a landing attempt. Lack of altitude awareness and disorientation leading to an uncontrolled descent. Crew did not make use of navigational aids.,December,Thailand,TH,Bangkok,13.75398,100.50144,53,44,9,53,44,9,72,0,0,0
3124,25,1991,08:15,"Near Bangalore, India",Military - Indian Air Force,864,Cairo - Bangkok,Hindustan Aeronautics 748-2,0,The plane climbed to an altitude of 150 ft. and then crashed into the ground about half-a-mile from the airport. Engine failure.,March,India,IN,Indi,17.17735,75.9526,28,25,3,28,25,3,28,0,0,0
